Stimulus_Type,N_Presentations,Mean_Duration_s,Total_Duration_s
natural_movie_three,36000,0.03336119305555556,1201.00295
natural_movie_one,18000,0.033361190555555593,600.5014300000007
static_gratings,6000,0.2502089250000002,1501.2535500000013
natural_scenes,5950,0.25021453916028336,1488.776508003686
gabors,3645,0.25020433456941754,911.9947995055269
drifting_gratings,628,2.0016720382165505,1257.0500399999937
flashes,150,0.2502059851759259,37.53089777638888
spontaneous,15,82.46997253112222,1237.0495879668333
