region,latency_ms,baseline_rate,baseline_std,threshold,peak_rate,n_units
LP,47.500000000000206,7.386804209360287,2.0021295714768557,10.38999856657557,25.343856734053354,69
VISp,47.500000000000206,6.525749572782351,1.8849238954598821,9.353135415972174,19.60540624514525,41
VISl,47.500000000000206,6.507430997876858,1.8204111611139528,9.238047739547788,22.163246048596367,27
VISal,47.500000000000206,4.86185229815803,1.3755122777516944,6.925120714785571,14.19349285591324,37
VISam,52.50000000000021,3.998448472970766,1.5974836014404177,6.394673875131392,13.392128041809569,39
CA1,,10.6427738404952,1.8203923399989799,13.37336235049367,11.769982955055172,71
CA3,,7.270700636942675,2.6522076166077104,11.249012061854241,10.19108280254777,10
