Region,N_Units,Mean_Rate_Hz,Std_Rate_Hz,Min_Rate_Hz,Max_Rate_Hz
CA1,71,10.349130802967517,8.241682940856514,0.5345222487110193,37.395865568335736
CA3,10,7.827305701052277,5.4501154060070425,1.06782133438151,19.042100284696616
LP,69,7.609837948646635,4.4431235788953565,0.14545447156953176,23.214615206699968
VISal,37,5.546821244188674,4.479532631443861,0.2711344739838503,17.7552308358071
VISam,39,5.627263498205423,3.883838208337125,0.20844736815675713,15.473827904714419
VISl,27,9.619486453151593,6.453900679943615,0.7484738505501553,30.481222969973913
VISp,41,8.233334175135012,5.701444681864497,1.558921295153762,24.44358827167113
